liczba punktów\liczba funkcji,2,3,4,5,6,7,8,9,10,15,20,25
10,2.15079,1.94010,2.18212,1.86615,3.14885,3.67940,4.17856,4.89492,7.46090,12.04505,17.07347,21.47179
20,1.70186,1.70283,1.70679,0.93184,1.01352,1.14837,1.43710,1.94163,2.20051,3.78073,8.39424,10.71681
30,1.62072,1.62192,1.62293,0.70353,0.73035,0.76033,0.84263,1.26819,1.44407,2.36754,3.29100,4.42239
40,1.57941,1.58047,1.58082,0.59311,0.60158,0.60020,0.61154,0.94655,1.07915,1.78432,2.45308,3.12185
50,1.55430,1.55528,1.55522,0.52771,0.52867,0.51565,0.50100,0.75107,0.85767,1.43326,1.97152,2.50508
60,1.53742,1.53835,1.53802,0.48437,0.48159,0.46419,0.44714,0.61968,0.70880,1.19731,1.64822,2.09441
70,1.52530,1.52619,1.52566,0.45362,0.44951,0.43020,0.42934,0.52530,0.60187,1.02782,1.41599,1.79942
80,1.51617,1.51703,1.51640,0.43093,0.42535,0.41512,0.41594,0.45423,0.52135,0.90018,1.24111,1.57727
90,1.50905,1.50988,1.50932,0.41322,0.40754,0.40487,0.40548,0.39877,0.45852,0.80059,1.10466,1.40394
100,1.50334,1.50415,1.50364,0.39903,0.39574,0.39664,0.39709,0.35430,0.40813,0.72072,0.99523,1.26494
150,1.48612,1.48688,1.48654,0.35689,0.37112,0.37185,0.37182,0.22222,0.25630,0.48007,0.66549,0.84608
200,1.47748,1.47821,1.47795,0.33612,0.35875,0.35939,0.35912,0.16502,0.18072,0.35914,0.49979,0.63561
250,1.47227,1.47299,1.47278,0.32990,0.35131,0.35190,0.35148,0.13486,0.14126,0.28639,0.40012,0.50900
