liczba punktów\liczba funkcji,2,3,4,5,6,7,8,9,10,15,20,25
10,0.04319,0.04596,0.04892,0.03483,0.05701,0.05955,0.06173,0.06293,0.10324,0.12661,0.15727,0.17390
20,0.03773,0.03858,0.03945,0.01742,0.01929,0.02100,0.02309,0.02282,0.02433,0.03387,0.09849,0.10857
30,0.03725,0.03764,0.03803,0.01336,0.01449,0.01554,0.01653,0.01510,0.01615,0.02067,0.02485,0.03097
40,0.03708,0.03730,0.03752,0.01159,0.01233,0.01304,0.01372,0.01145,0.01224,0.01559,0.01850,0.02112
50,0.03700,0.03714,0.03728,0.01065,0.01118,0.01168,0.01217,0.00924,0.00987,0.01253,0.01487,0.01695
60,0.03696,0.03705,0.03715,0.01010,0.01049,0.01086,0.01123,0.00776,0.00828,0.01048,0.01243,0.01417
70,0.03693,0.03700,0.03707,0.00975,0.01005,0.01034,0.01062,0.00670,0.00715,0.00900,0.01068,0.01217
80,0.03692,0.03697,0.03702,0.00952,0.00975,0.00998,0.01020,0.00591,0.00630,0.00789,0.00936,0.01067
90,0.03690,0.03694,0.03698,0.00935,0.00954,0.00973,0.00991,0.00530,0.00565,0.00702,0.00833,0.00950
100,0.03690,0.03693,0.03696,0.00924,0.00939,0.00954,0.00969,0.00481,0.00512,0.00633,0.00751,0.00856
150,0.03688,0.03689,0.03690,0.00895,0.00902,0.00908,0.00915,0.00338,0.00358,0.00423,0.00502,0.00572
200,0.03687,0.03688,0.03688,0.00884,0.00888,0.00892,0.00896,0.00270,0.00284,0.00318,0.00377,0.00430
250,0.03687,0.03687,0.03687,0.00880,0.00882,0.00884,0.00887,0.00232,0.00243,0.00255,0.00302,0.00344
